url,nombre,ultimo_rastreo
https://evacaravan.com/products/campana-extractora-baraldi-12v-especial-campers-negro,Campana Extractora Baraldi 12V Especial Campers Negro,2026-05-13
https://evacaravan.com/products/campana-extractora-baraldi-12v-especial-campers-inox,"Campana Extractora 12V Baraldi Inox - Silenciosa y Compacta para Camper y 
Caravana",2026-05-12
https://evacaravan.com/products/milenco-antirrobo-estabilizador-als-3004,Milenco Antirrobo Estabilizador AKS 3004,2026-05-12
https://evacaravan.com/products/nevera-compresor-thetford-t1090-de-90-l,Nevera Compresor Thetford T1090 de 90 L,2026-05-07
