url,tipo,ultimo_rastreo
https://evacaravan.com/collections/climatizacion-camper,coleccion,2026-02-25
https://evacaravan.com/collections/cocina-gas-neveras,coleccion,2026-04-16
https://evacaravan.com/collections/protector-para-cabina,coleccion,2026-01-09
